name,surname,birth_date,death_date,party,party_abr,assumed_office,left_office,sex,city,region
Gudrun,Schyman,1948-06-09,,Vänsterpartiet,V,1993-01-07,2003-01-26,k,Täby,Uppland
Lars,Werner,1935-07-25,2013-01-11,Vänsterpartiet,V,1975-03-13,1993-01-07,m,Stockholm,Södermanland
C.H.,Hermansson,1917-12-14,2016-07-26,Vänsterpartiet,V,1964-01-01,1975-03-13,m,Bollnäs,Hälsingland
Hilding,Hagberg,1899-10-28,1993-12-17,Vänsterpartiet,V,1951-01-01,1964-01-01,m,Gällivare,Lappland
Sven,Linderot,1889-10-08,1956-04-07,Vänsterpartiet,V,1929-01-01,1951-01-01,m,Finspång,Östergötland
Karl,Kilbom III,1885-05-08,1961-12-24,Vänsterpartiet,V,1924-01-01,1929-01-01,m,Östhammar,Uppland
Nils,Flyg,1891-06-09,1943-01-09,Vänsterpartiet,V,1924-01-01,1929-01-01,m,Stockholm,Södermanland
Zeth,Höglund II,1884-04-29,1956-08-13,Vänsterpartiet,V,1919-01-01,1924-01-01,m,Göteborg,Västergötland
Karl,Kilbom II,1885-05-08,1961-12-24,Vänsterpartiet,V,1921-01-01,1923-01-01,m,Östhammar,Uppland
Ernst,Åström,1876-07-15,1936-06-24,Vänsterpartiet,V,1918-01-01,1918-12-31,m,Uppsala,Uppland
Karl,Kilbom I,1885-05-08,1961-12-24,Vänsterpartiet,V,1918-01-01,1918-12-31,m,Östhammar,Uppland
Carl,Winberg,1867-07-06,1954-02-22,Vänsterpartiet,V,1917-01-01,1917-12-31,m,Karlstad,Värmland
Zeth,Höglund I,1884-06-09,1956-08-13,Vänsterpartiet,V,1917-01-01,1917-12-31,m,Göteborg,Västergötland
Jimmie,Åkesson,1979-05-17,,Sverigedemokraterna,Sd,2005-05-07,,m,Bromölla,Skåne
Mikael,Jansson,1965-09-04,,Sverigedemokraterna,Sd,1995-03-04,2005-05-07,m,Umeå,Västerbotten
Anders,Klarström,1965-12-17,,Sverigedemokraterna,Sd,1989-06-10,1995-03-04,m,Göteborg,
